Film,Rotten Tomatoesin%,Metacritic,CinemaScore,CinemaScore
Howard the Duck,14,28,B,B-
The Punisher (1989),28,63,NA,NA
Captain America (1990),13,0,NA,NA
The Fantastic Four (1994),30,0,NA,NA
Blade,57,47,A,A-
X-Men,82,64,A,A-
Blade II,57,52,B,B+
Spider-Man,90,73,A,A-
Daredevil,44,42,B,B
X2,85,68,A,A
Hulk,62,54,B,B-
The Punisher (2004),29,33,B,B-
Spider-Man 2,93,83,A,A-
Blade: Trinity,25,38,B,B-
Elektra,11,34,B,B
Man-Thing,17,0,NA,NA
Fantastic Four (2005),28,40,B,B
X-Men: The Last Stand,57,58,A,A-
Ghost Rider,26,35,B,B
Spider-Man 3,63,59,B,B+
Fantastic Four: Rise of the Silver Surfer,37,45,B,B
Iron Man,94,79,A,A
The Incredible Hulk,67,61,A,A-
Punisher: War Zone,29,30,B,B-
X-Men Origins: Wolverine,37,40,B,B+
Iron Man 2,73,57,A,A
Thor,77,57,B,B+
X-Men: First Class,86,65,B,B+
Captain America: The First Avenger,80,66,A,A-
Ghost Rider: Spirit of Vengeance,18,34,C,C+
The Avengers,91,69,A,A+
The Amazing Spider-Man,72,66,A,A-
Iron Man 3,79,62,A,A
The Wolverine,71,61,A,A-
Thor: The Dark World,66,54,A,A-
Captain America: The Winter Soldier,90,70,A,A
The Amazing Spider-Man 2,52,53,B,B+
X-Men: Days of Future Past,90,75,A,A
Guardians of the Galaxy,92,76,A,A
Big Hero 6,90,74,A,A
Avengers: Age of Ultron,76,66,A,A
Ant-Man,83,64,A,A
Fantastic Four (2015),9,27,C,C-
Deadpool,85,65,A,A
Captain America: Civil War,90,75,A,A
X-Men: Apocalypse,47,52,A,A-
Doctor Strange,89,72,A,A
Logan,94,77,A,A-
Guardians of the Galaxy Vol. 2,85,67,A,A
Spider-Man: Homecoming,92,73,A,A
Thor: Ragnarok,93,74,A,A
Black Panther,96,88,A,A+
Avengers: Infinity War,85,68,A,A
Deadpool 2,84,66,A,A
Ant-Man and the Wasp,87,70,A,A-
Venom,30,35,B,B+
Spider-Man: Into the Spider-Verse,97,87,A,A+
Captain Marvel,79,64,A,A
Avengers: Endgame,94,78,A,A+
Dark Phoenix,22,43,B,B-
Spider-Man: Far From Home,90,69,A,A
The New Mutants,36,43,NA,NA
Black Widow,79,67,A,A-
Shang-Chi and the Legend of the Ten Rings,91,71,A,A
Venom: Let There Be Carnage,58,49,B,B+
Eternals,47,52,B,B
Spider-Man: No Way Home,93,72,A,A+
